conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/occupation/49607371-2712-4b0a-8d7c-1b4bc22d9581,responsable de la logistique distribution de bois et matériaux de construction,
http://data.europa.eu/esco/occupation/48cff102-9fe2-4e0f-8156-88fd8a686e6c,fileur sur métiers classiques/fileuse sur métiers classiques,fileuse sur métiers classiques|fileur sur métiers classiques
http://data.europa.eu/esco/occupation/476420bb-2577-4f79-ad32-186f19c4fd02,pilote d’hélicoptère,
http://data.europa.eu/esco/occupation/45f8504d-24ac-4bcd-8692-a93acc74204c,technicien/technicienne de laboratoire contrôle qualité - fabrication d’articles en cuir,technicienne de laboratoire contrôle qualité dans la fabrication d’articles en cuir|technicien de laboratoire contrôle qualité dans la fabrication d’articles en cuir
http://data.europa.eu/esco/occupation/46f9d58f-11bd-4d96-b000-ff4490d3009b,professeur d’arts industriels/professeure d’arts industriels,professeur d’arts industriels|professeure d’arts industriels
http://data.europa.eu/esco/occupation/47b747bb-5bbf-40d5-aa3e-8d4a79238502,gérant de magasin bijouterie-horlogerie/gérante de magasin bijouterie-horlogerie,responsable de magasin bijouterie-horlogerie|gérante de magasin bijouterie-horlogerie|gérant de magasin bijouterie-horlogerie
http://data.europa.eu/esco/occupation/463a687a-c7e9-469a-bb38-dcdfe1e7e35f,gérant de magasin d'équipement audio et vidéo/gérante de magasin d'équipement audio et vidéo,gérante de magasin d'équipement audio et vidéo|responsable de magasin d'équipement audio et vidéo|gérant de magasin d'équipement audio et vidéo|responsable de magasin d'équipement audiovisuel
http://data.europa.eu/esco/occupation/484ca14a-8e11-4ae1-ba9c-901cd86df56b,négociant grossiste en produits pharmaceutiques/négociante grossiste en produits pharmaceutiques,négociante grossiste en produits pharmaceutiques|négociant grossiste en produits pharmaceutiques
http://data.europa.eu/esco/occupation/4666cccf-cfbc-4296-95b5-67dad2f620d2,moniteur de bus-école/monitrice de bus-école,moniteur de bus-école|monitrice de bus-école|formatrice en conduite de bus|formateur en conduite de bus
http://data.europa.eu/esco/occupation/48c8eccb-4bd0-487e-a187-4953cbbe956e,animateur 2D et 3D/animatrice 2D et 3D,animateur 2D et 3D|animatrice 2D et 3D
http://data.europa.eu/esco/occupation/48b336d2-7ffb-49a3-a010-444b68ddd12d,boucher en boucherie halal/bouchère en boucherie halal,bouchère en boucherie halal|boucher en boucherie halal
http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344,assistant marketing/assistante marketing,assistante marketing|chargée de projet marketing|chargé de projet marketing/chargée de projet marketing|chargé de projet marketing|assistant marketing
http://data.europa.eu/esco/occupation/49713da4-4e97-4f82-bd1c-16ce7f9179b7,maquilleur/maquilleuse,maquilleur|maquilleuse
http://data.europa.eu/esco/occupation/4588cd69-e6a5-4668-94c7-f02a3d86a649,formateur numérique/formatrice numérique,formatrice numérique|formateur numérique
http://data.europa.eu/esco/occupation/46354077-416f-4440-a0c3-dddee9031c05,professeur en génie électrique et énergétique de la voie professionnelle/professeure en génie électrique et énergétique de la voie professionnelle,professeur en génie électrique et énergétique (voie professionnelle)|professeure en génie électrique et énergétique (voie professionnelle)|professeure en génie électrique et énergétique de la voie professionnelle|professeur en génie électrique et énergétique de la voie professionnelle|professeur en génie électrique et énergétique (voie professionnelle)/professeure en génie électrique et énergétique (voie professionnelle)
http://data.europa.eu/esco/occupation/480d2853-db07-43d4-847f-7ffdd8d368f5,reporter-photographe,
http://data.europa.eu/esco/occupation/4a1125ee-5728-4b1f-b655-7b8eb2e27660,manager en restauration rapide/manageuse en restauration rapide,directrice en restauration rapide|manageuse en reastauration rapide|responsable de fast-food|responsable en restauration rapide|manager en restauration rapide|directeur en restauration rapide
http://data.europa.eu/esco/occupation/49f1e9aa-189b-4417-afaa-373cc4ffeea1,"étireur en verre plat, verre technique, fils et fibres/étireuse en verre plat, verre technique, fils et fibres","opérateur de puits d’étirage-formage du verre|étireuse en fils et fibres de verre|étireur en fils et fibres de verre|étireur en fils et fibres de verre/étireuse en fils et fibres de verre|étireuse en verre plat, verre technique, fils et fibres|opératrice de puits d’étirage-formage du verre|étireur en verre plat, verre technique, fils et fibres|opérateur de puits d’étirage-formage du verre/opératrice de puits d’étirage-formage du verre"
http://data.europa.eu/esco/occupation/49c3db8c-c586-42d1-9726-f65d8303c0b1,lexicographe,
http://data.europa.eu/esco/occupation/49e28648-4fa8-4b36-ac4d-781c108547bf,dispatcheur transport de marchandises/dispatcheuse transport de marchandises,dispatcheur transport de marchandises|dispatcheuse transport de marchandises
http://data.europa.eu/esco/occupation/49b21ca8-04be-4912-a2f7-0170550e18fa,opérateur en reliure/opératrice en reliure,opératrice en reliure|opérateur en reliure
http://data.europa.eu/esco/occupation/49e4e358-8ba3-4a05-8ef9-abb73156f5f7,chiropracteur/chiropractrice,chiropraticien|ostéopathe|thérapeute en chiropratique|kinésithérapeute chiropracteur|chiropraticienne|kinésithérapeute chiropracteur/kinésithérapeute chiropractrice|kinésithérapeute chiropractrice|chiropraticien/chiropraticienne|chiropracteur|chiropractrice
http://data.europa.eu/esco/occupation/4975c4cc-a89f-4ea8-82aa-501258dfb2f9,souscripteur IARD/souscriptrice IARD,souscripteur IARD|souscriptrice non vie|souscriptrice IARD|souscripteur non vie
